hash,image_path,split,label_path,class_ids,bbox_count,label_fingerprint,duplicate_group_id,same_label_as_group,recommended_action,notes
0eb818d4fb118468b83dbfe6cb4df9b62bdd4cf7b041aa04983a53ab25ac9cce,ml/datasets/fruit_dataset_26/images/train/loquat_Image_38.jpg,train,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_38.txt,13,22,dc15cedd01302fd7558f9840fcd14476bcf01899c098538e92606e432a9e08c1,dup_001,true,remove_duplicate_candidate,identical image bytes and matching label fingerprint
0eb818d4fb118468b83dbfe6cb4df9b62bdd4cf7b041aa04983a53ab25ac9cce,ml/datasets/fruit_dataset_26/images/train/loquat_Image_4.jpg,train,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_4.txt,13,22,dc15cedd01302fd7558f9840fcd14476bcf01899c098538e92606e432a9e08c1,dup_001,true,remove_duplicate_candidate,identical image bytes and matching label fingerprint
726807cf3206d1c2e2c08142bc72a0ff32e7d21619e53f644a644a60d3d16655,ml/datasets/fruit_dataset_26/images/train/loquat_Image_1.jpg,train,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_1.txt,13,11,144105af218fdbd7f34e8bbd5d333bbc81ca700a369cf28b317e4386ad8ea38a,dup_002,true,remove_duplicate_candidate,identical image bytes and matching label fingerprint
726807cf3206d1c2e2c08142bc72a0ff32e7d21619e53f644a644a60d3d16655,ml/datasets/fruit_dataset_26/images/train/loquat_Image_44.jpg,train,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_44.txt,13,11,144105af218fdbd7f34e8bbd5d333bbc81ca700a369cf28b317e4386ad8ea38a,dup_002,true,remove_duplicate_candidate,identical image bytes and matching label fingerprint
7ac3d3c83611ae925ca2628bb3da52e850b9ce45edbdf713713286051433f632,ml/datasets/fruit_dataset_26/images/train/loquat_Image_3.jpg,train,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_3.txt,13,37,902fefec9b35501f24162a6a2ae8a02640b1c695b2ad9226708f1cd732715e0c,dup_003,true,remove_duplicate_candidate,identical image bytes and matching label fingerprint
7ac3d3c83611ae925ca2628bb3da52e850b9ce45edbdf713713286051433f632,ml/datasets/fruit_dataset_26/images/train/loquat_Image_37.jpg,train,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_37.txt,13,37,902fefec9b35501f24162a6a2ae8a02640b1c695b2ad9226708f1cd732715e0c,dup_003,true,remove_duplicate_candidate,identical image bytes and matching label fingerprint
876d4225d60512776c6f2a07c51c219197cb671c5ee1f7eb514d5eab2e8bfdf9,ml/datasets/fruit_dataset_26/images/train/loquat_Image_2.jpg,train,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_2.txt,13,18,eb63f53b08115331a178e61c588e0cdaa5bf28510b302d145dfaf0e2c9519e04,dup_004,true,remove_duplicate_candidate,identical image bytes and matching label fingerprint
876d4225d60512776c6f2a07c51c219197cb671c5ee1f7eb514d5eab2e8bfdf9,ml/datasets/fruit_dataset_26/images/train/loquat_Image_45.jpg,train,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_45.txt,13,18,eb63f53b08115331a178e61c588e0cdaa5bf28510b302d145dfaf0e2c9519e04,dup_004,true,remove_duplicate_candidate,identical image bytes and matching label fingerprint
e89e467943f6e4a7de6ef745404e6676fbf7243e51fee4b7ac558acb82d2e2bc,ml/datasets/fruit_dataset_26/images/train/lychee_Image_1.jpg,train,ml/datasets/fruit_dataset_26/labels/train/lychee_Image_1.txt,14,2,ba9b1bb6de90bc9cae6f2c730822766eb44a063170784b659775d66a45704d06,dup_005,true,remove_duplicate_candidate,identical image bytes and matching label fingerprint
e89e467943f6e4a7de6ef745404e6676fbf7243e51fee4b7ac558acb82d2e2bc,ml/datasets/fruit_dataset_26/images/train/lychee_Image_2.jpg,train,ml/datasets/fruit_dataset_26/labels/train/lychee_Image_2.txt,14,2,ba9b1bb6de90bc9cae6f2c730822766eb44a063170784b659775d66a45704d06,dup_005,true,remove_duplicate_candidate,identical image bytes and matching label fingerprint
