image_path,class_name,issue_type,vision_signal,risk_level,recommended_action,review_reason
ml/datasets/fruit_dataset_26/images/val/000000420713.jpg,pear|peach|grape,vision_fruit_class_disagreement,vision_apple_0.826,high,manual_review,Vision named a fruit category that conflicts with the current YOLO label.
ml/datasets/fruit_dataset_26/images/train/000000261503.jpg,apple|pear,vision_fruit_class_disagreement,vision_mango_0.803,high,manual_review,Vision named a fruit category that conflicts with the current YOLO label.
ml/datasets/fruit_dataset_26/images/train/000000413401.jpg,pear,vision_fruit_class_disagreement,vision_strawberry_0.799,high,manual_review,Vision named a fruit category that conflicts with the current YOLO label.
ml/datasets/fruit_dataset_26/images/train/000000066670.jpg,apple,vision_fruit_class_disagreement,vision_mango_0.795,high,manual_review,Vision named a fruit category that conflicts with the current YOLO label.
ml/datasets/fruit_dataset_26/images/train/000000151892.jpg,cherry,vision_fruit_class_disagreement,vision_grape_0.794,high,manual_review,Vision named a fruit category that conflicts with the current YOLO label.
ml/datasets/fruit_dataset_26/images/train/000000126733.jpg,apple|pear|cherry|persimmon,vision_fruit_class_disagreement,vision_grape_0.779,high,manual_review,Vision named a fruit category that conflicts with the current YOLO label.
ml/datasets/fruit_dataset_26/images/train/000000007367.jpg,pear|peach,vision_fruit_class_disagreement,vision_mango_0.769,high,manual_review,Vision named a fruit category that conflicts with the current YOLO label.
ml/datasets/fruit_dataset_26/images/train/000000366389.jpg,orange,vision_fruit_class_disagreement,vision_apple_0.753,high,manual_review,Vision named a fruit category that conflicts with the current YOLO label.
ml/datasets/fruit_dataset_26/images/train/000000397404.jpg,orange|pear|grape,vision_nonfruit_signal,vision_furniture_0.954,high,manual_review,High-confidence non-fruit Vision signal; verify that the image is usable.
ml/datasets/fruit_dataset_26/images/val/000000510552.jpg,apple,vision_nonfruit_signal,vision_furniture_0.948,high,manual_review,High-confidence non-fruit Vision signal; verify that the image is usable.
ml/datasets/fruit_dataset_26/images/val/000000422611.jpg,strawberry,vision_nonfruit_signal,vision_furniture_0.946,high,manual_review,High-confidence non-fruit Vision signal; verify that the image is usable.
ml/datasets/fruit_dataset_26/images/train/pomegranate_Image_57.jpg,pomegranate,vision_nonfruit_signal,vision_art_0.943,high,manual_review,High-confidence non-fruit Vision signal; verify that the image is usable.
ml/datasets/fruit_dataset_26/images/train/000000077990.jpg,pear,vision_nonfruit_signal,vision_furniture_0.940,high,manual_review,High-confidence non-fruit Vision signal; verify that the image is usable.
ml/datasets/fruit_dataset_26/images/train/000000551718.jpg,mango,vision_nonfruit_signal,vision_furniture_0.936,high,manual_review,High-confidence non-fruit Vision signal; verify that the image is usable.
ml/datasets/fruit_dataset_26/images/train/000000515878.jpg,peach,vision_nonfruit_signal,vision_furniture_0.935,high,manual_review,High-confidence non-fruit Vision signal; verify that the image is usable.
