duplicate_group_id,image_path,label_path,class_names,bbox_count,label_fingerprint,recommended_action,approved_action,human_review_required,notes
dup_001,ml/datasets/fruit_dataset_26/images/train/loquat_Image_38.jpg,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_38.txt,loquat,22,dc15cedd01302fd7558f9840fcd14476bcf01899c098538e92606e432a9e08c1,remove_duplicate_candidate,pending_review,yes,identical image bytes and matching label fingerprint; visual review required before any copy cleanup
dup_001,ml/datasets/fruit_dataset_26/images/train/loquat_Image_4.jpg,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_4.txt,loquat,22,dc15cedd01302fd7558f9840fcd14476bcf01899c098538e92606e432a9e08c1,remove_duplicate_candidate,pending_review,yes,identical image bytes and matching label fingerprint; visual review required before any copy cleanup
dup_002,ml/datasets/fruit_dataset_26/images/train/loquat_Image_1.jpg,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_1.txt,loquat,11,144105af218fdbd7f34e8bbd5d333bbc81ca700a369cf28b317e4386ad8ea38a,remove_duplicate_candidate,pending_review,yes,identical image bytes and matching label fingerprint; visual review required before any copy cleanup
dup_002,ml/datasets/fruit_dataset_26/images/train/loquat_Image_44.jpg,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_44.txt,loquat,11,144105af218fdbd7f34e8bbd5d333bbc81ca700a369cf28b317e4386ad8ea38a,remove_duplicate_candidate,pending_review,yes,identical image bytes and matching label fingerprint; visual review required before any copy cleanup
dup_003,ml/datasets/fruit_dataset_26/images/train/loquat_Image_3.jpg,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_3.txt,loquat,37,902fefec9b35501f24162a6a2ae8a02640b1c695b2ad9226708f1cd732715e0c,remove_duplicate_candidate,pending_review,yes,identical image bytes and matching label fingerprint; visual review required before any copy cleanup
dup_003,ml/datasets/fruit_dataset_26/images/train/loquat_Image_37.jpg,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_37.txt,loquat,37,902fefec9b35501f24162a6a2ae8a02640b1c695b2ad9226708f1cd732715e0c,remove_duplicate_candidate,pending_review,yes,identical image bytes and matching label fingerprint; visual review required before any copy cleanup
dup_004,ml/datasets/fruit_dataset_26/images/train/loquat_Image_2.jpg,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_2.txt,loquat,18,eb63f53b08115331a178e61c588e0cdaa5bf28510b302d145dfaf0e2c9519e04,remove_duplicate_candidate,pending_review,yes,identical image bytes and matching label fingerprint; visual review required before any copy cleanup
dup_004,ml/datasets/fruit_dataset_26/images/train/loquat_Image_45.jpg,ml/datasets/fruit_dataset_26/labels/train/loquat_Image_45.txt,loquat,18,eb63f53b08115331a178e61c588e0cdaa5bf28510b302d145dfaf0e2c9519e04,remove_duplicate_candidate,pending_review,yes,identical image bytes and matching label fingerprint; visual review required before any copy cleanup
dup_005,ml/datasets/fruit_dataset_26/images/train/lychee_Image_1.jpg,ml/datasets/fruit_dataset_26/labels/train/lychee_Image_1.txt,lychee,2,ba9b1bb6de90bc9cae6f2c730822766eb44a063170784b659775d66a45704d06,remove_duplicate_candidate,pending_review,yes,identical image bytes and matching label fingerprint; visual review required before any copy cleanup
dup_005,ml/datasets/fruit_dataset_26/images/train/lychee_Image_2.jpg,ml/datasets/fruit_dataset_26/labels/train/lychee_Image_2.txt,lychee,2,ba9b1bb6de90bc9cae6f2c730822766eb44a063170784b659775d66a45704d06,remove_duplicate_candidate,pending_review,yes,identical image bytes and matching label fingerprint; visual review required before any copy cleanup
