image_path,label_path,class_names,risk_level,issue_type,recommended_action,approved_action,notes
ml/datasets/fruit_dataset_26/images/val/000000420713.jpg,ml/datasets/fruit_dataset_26/labels/val/000000420713.txt,pear|peach|grape,high,vision_fruit_class_disagreement,manual_review,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000261503.jpg,ml/datasets/fruit_dataset_26/labels/train/000000261503.txt,apple|pear,high,vision_fruit_class_disagreement,manual_review,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000413401.jpg,ml/datasets/fruit_dataset_26/labels/train/000000413401.txt,pear,high,vision_fruit_class_disagreement,manual_review,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000066670.jpg,ml/datasets/fruit_dataset_26/labels/train/000000066670.txt,apple,high,vision_fruit_class_disagreement,manual_review,keep,
ml/datasets/fruit_dataset_26/images/train/000000126733.jpg,ml/datasets/fruit_dataset_26/labels/train/000000126733.txt,apple|pear|cherry|persimmon,high,vision_fruit_class_disagreement,manual_review,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000007367.jpg,ml/datasets/fruit_dataset_26/labels/train/000000007367.txt,pear|peach,high,vision_fruit_class_disagreement,manual_review,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000366389.jpg,ml/datasets/fruit_dataset_26/labels/train/000000366389.txt,orange,high,vision_fruit_class_disagreement,manual_review,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000397404.jpg,ml/datasets/fruit_dataset_26/labels/train/000000397404.txt,orange|pear|grape,high,vision_nonfruit_signal,exclude_from_training_candidate,exclude_from_training,
ml/datasets/fruit_dataset_26/images/val/000000510552.jpg,ml/datasets/fruit_dataset_26/labels/val/000000510552.txt,apple,high,vision_nonfruit_signal,exclude_from_training_candidate,exclude_from_training,
ml/datasets/fruit_dataset_26/images/val/000000422611.jpg,ml/datasets/fruit_dataset_26/labels/val/000000422611.txt,strawberry,high,vision_nonfruit_signal,exclude_from_training_candidate,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000077990.jpg,ml/datasets/fruit_dataset_26/labels/train/000000077990.txt,pear,high,vision_nonfruit_signal,exclude_from_training_candidate,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000032699.jpg,ml/datasets/fruit_dataset_26/labels/train/000000032699.txt,pear,high,vision_nonfruit_signal,exclude_from_training_candidate,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000389006.jpg,ml/datasets/fruit_dataset_26/labels/train/000000389006.txt,apple,high,vision_nonfruit_signal,exclude_from_training_candidate,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000446670.jpg,ml/datasets/fruit_dataset_26/labels/train/000000446670.txt,pear,high,vision_nonfruit_signal,exclude_from_training_candidate,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000574735.jpg,ml/datasets/fruit_dataset_26/labels/train/000000574735.txt,pear,high,vision_nonfruit_signal,exclude_from_training_candidate,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000297639.jpg,ml/datasets/fruit_dataset_26/labels/train/000000297639.txt,orange,high,vision_nonfruit_signal,exclude_from_training_candidate,exclude_from_training,
ml/datasets/fruit_dataset_26/images/train/000000092998.jpg,ml/datasets/fruit_dataset_26/labels/train/000000092998.txt,apple,high,vision_nonfruit_signal,exclude_from_training_candidate,exclude_from_training,
